date,keyword,search_index,campaign,site_dcm,placement,mission,creative,clicks,impressions,click_through_conversions,view_through_conversions,click_through_revenue,view_through_revenue
2017-11-17,christmas pudding,12,Sainsburys_Scarlet_Xmas_2017_Playlist_300x250,Programmatic Trade Desk,PKW8H8_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 300x250,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_300x250,9,17160,0,40,0,3085.98
2017-11-17,christmas pudding,12,Sainsburys_Scarlet_Xmas_2017_Playlist_728x90,Programmatic Trade Desk,PKW8H9_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 728x90,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_728x90,2,3426,0,11,0,873.62
2017-11-17,christmas pudding,12,Sainsburys_Scarlet_Xmas_2017_Playlist_300x600,Programmatic Trade Desk,PKW8HB_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 300x600,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_300x600,6,4705,0,18,0,1479.01
2017-11-17,christmas pudding,12,Sainsburys_Scarlet_Xmas_2017_Playlist_970x250,Programmatic Trade Desk,PKW8HC_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 970x250,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_970x250,5,7174,0,20,0,1918.5
2017-11-17,christmas pudding,12,THINK Dinner Party 300 x 250,Programmatic Trade Desk,PKXMX2_Programmatic PHDCPMParty food Annalect Custom AudiencesProgrammatic Display 300x250,Party Food,THINK Dinner Party 300 x 250,2,3,0,0,0,0
2017-11-17,christmas pudding,12,THINK Dinner Party 728 x 90,Programmatic Trade Desk,PKXMX3_Programmatic PHDCPMParty food Annalect Custom AudiencesProgrammatic Display 728x90,Party Food,THINK Dinner Party 728 x 90,2,4,0,0,0,0
2017-11-17,christmas pudding,12,THINK Dinner Party 300 x 600,Programmatic Trade Desk,PKXMX4_Programmatic PHDCPMParty food Annalect Custom AudiencesProgrammatic Display 300x600,Party Food,THINK Dinner Party 300 x 600,2,4,0,0,0,0
2017-11-17,christmas pudding,12,THINK Dinner Party 970 x 250,Programmatic Trade Desk,PKXMX5_Programmatic PHDCPMParty food Annalect Custom AudiencesProgrammatic Display 970x250,Party Food,THINK Dinner Party 970 x 250,1,4,0,0,0,0
2017-11-17,christmas pudding,12,THINK Dinner Party 300 x 250,Programmatic Trade Desk,PKXMXB_Programmatic PHDCPMDesserts Annalect Custom AudiencesProgrammatic Display 300x250,Dessert,THINK Dinner Party 300 x 250,0,6,0,0,0,0
2017-11-17,christmas pudding,12,THINK Dinner Party 728 x 90,Programmatic Trade Desk,PKXMXC_Programmatic PHDCPMDesserts Annalect Custom AudiencesProgrammatic Display 728x90,Dessert,THINK Dinner Party 728 x 90,0,8,0,0,0,0
2017-11-17,christmas pudding,12,THINK Dinner Party 300 x 600,Programmatic Trade Desk,PKXMXD_Programmatic PHDCPMDesserts Annalect Custom AudiencesProgrammatic Display 300x600,Dessert,THINK Dinner Party 300 x 600,1,4,0,0,0,0
2017-11-17,christmas pudding,12,THINK Dinner Party 970 x 250,Programmatic Trade Desk,PKXMXF_Programmatic PHDCPMDesserts Annalect Custom AudiencesProgrammatic Display 970x250,Dessert,THINK Dinner Party 970 x 250,0,4,0,0,0,0
2017-11-17,christmas pudding,12,THINK Dinner Party 300 x 250,Programmatic Trade Desk,PKXMXP_Programmatic PHDCPMChristmas baking Annalect Custom AudiencesProgrammatic Display 300x250,Baking,THINK Dinner Party 300 x 250,0,4,0,0,0,0
2017-11-17,christmas pudding,12,THINK Dinner Party 728 x 90,Programmatic Trade Desk,PKXMXQ_Programmatic PHDCPMChristmas baking Annalect Custom AudiencesProgrammatic Display 728x90,Baking,THINK Dinner Party 728 x 90,0,7,0,0,0,0
2017-11-17,christmas pudding,12,THINK Dinner Party 300 x 600,Programmatic Trade Desk,PKXMXR_Programmatic PHDCPMChristmas baking Annalect Custom AudiencesProgrammatic Display 300x600,Baking,THINK Dinner Party 300 x 600,1,8,0,0,0,0
2017-11-17,christmas pudding,12,THINK Dinner Party 970 x 250,Programmatic Trade Desk,PKXMXS_Programmatic PHDCPMChristmas baking Annalect Custom AudiencesProgrammatic Display 970x250,Baking,THINK Dinner Party 970 x 250,0,7,0,0,0,0
2017-11-17,christmas pudding,12,THINK Dinner Party 300 x 250,Programmatic Trade Desk,PKXMY5_Programmatic PHDCPMSharing platter Annalect Custom AudiencesProgrammatic Display 300x250,Sharing Platter,THINK Dinner Party 300 x 250,0,2,0,0,0,0
2017-11-17,christmas pudding,12,THINK Dinner Party 728 x 90,Programmatic Trade Desk,PKXMY6_Programmatic PHDCPMSharing platter Annalect Custom AudiencesProgrammatic Display 728x90,Sharing Platter,THINK Dinner Party 728 x 90,1,3,0,0,0,0
2017-11-17,christmas pudding,12,THINK Dinner Party 300 x 600,Programmatic Trade Desk,PKXMY7_Programmatic PHDCPMSharing platter Annalect Custom AudiencesProgrammatic Display 300x600,Sharing Platter,THINK Dinner Party 300 x 600,0,4,0,0,0,0
2017-11-17,christmas pudding,12,THINK Dinner Party 970 x 250,Programmatic Trade Desk,PKXMY8_Programmatic PHDCPMSharing platter Annalect Custom AudiencesProgrammatic Display 970x250,Sharing Platter,THINK Dinner Party 970 x 250,0,4,0,0,0,0
2017-11-17,christmas pudding,12,THINK Dinner Party 300 x 250,Programmatic Trade Desk,PKXMYK_Programmatic PHDCPMSpirits  Annalect Custom AudiencesProgrammatic Display 300x250,Cocktails,THINK Dinner Party 300 x 250,1,5,0,0,0,0
2017-11-17,christmas pudding,12,THINK Dinner Party 728 x 90,Programmatic Trade Desk,PKXMYL_Programmatic PHDCPMSpirits  Annalect Custom AudiencesProgrammatic Display 728x90,Cocktails,THINK Dinner Party 728 x 90,3,5,0,0,0,0
2017-11-17,christmas pudding,12,THINK Dinner Party 300 x 600,Programmatic Trade Desk,PKXMYM_Programmatic PHDCPMSpirits  Annalect Custom AudiencesProgrammatic Display 300x600,Cocktails,THINK Dinner Party 300 x 600,0,2,0,0,0,0
2017-11-17,christmas pudding,12,THINK Dinner Party 970 x 250,Programmatic Trade Desk,PKXMYN_Programmatic PHDCPMSpirits  Annalect Custom AudiencesProgrammatic Display 970x250,Cocktails,THINK Dinner Party 970 x 250,1,4,0,0,0,0
2017-11-17,christmas pudding,12,THINK Dinner Party 300 x 250,Programmatic Trade Desk,PKXMYY_Programmatic PHDCPMChristmas brunch  Annalect Custom AudiencesProgrammatic Display 300x250,Brunch,THINK Dinner Party 300 x 250,1,3,0,0,0,0
2017-11-17,christmas pudding,12,THINK Dinner Party 728 x 90,Programmatic Trade Desk,PKXMYZ_Programmatic PHDCPMChristmas brunch  Annalect Custom AudiencesProgrammatic Display 728x90,Brunch,THINK Dinner Party 728 x 90,1,4,0,0,0,0
2017-11-17,christmas pudding,12,THINK Dinner Party 300 x 600,Programmatic Trade Desk,PKXMZ0_Programmatic PHDCPMChristmas brunch  Annalect Custom AudiencesProgrammatic Display 300x600,Brunch,THINK Dinner Party 300 x 600,0,4,0,0,0,0
2017-11-17,christmas pudding,12,THINK Dinner Party 970 x 250,Programmatic Trade Desk,PKXMZ1_Programmatic PHDCPMChristmas brunch  Annalect Custom AudiencesProgrammatic Display 970x250,Brunch,THINK Dinner Party 970 x 250,1,3,0,0,0,0
2017-11-17,mince pies,11,Sainsburys_Scarlet_Xmas_2017_Playlist_300x250,Programmatic Trade Desk,PKW8H8_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 300x250,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_300x250,9,17160,0,40,0,3085.98
2017-11-17,mince pies,11,Sainsburys_Scarlet_Xmas_2017_Playlist_728x90,Programmatic Trade Desk,PKW8H9_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 728x90,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_728x90,2,3426,0,11,0,873.62
2017-11-17,mince pies,11,Sainsburys_Scarlet_Xmas_2017_Playlist_300x600,Programmatic Trade Desk,PKW8HB_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 300x600,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_300x600,6,4705,0,18,0,1479.01
2017-11-17,mince pies,11,Sainsburys_Scarlet_Xmas_2017_Playlist_970x250,Programmatic Trade Desk,PKW8HC_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 970x250,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_970x250,5,7174,0,20,0,1918.5
2017-11-17,mince pies,11,THINK Dinner Party 300 x 250,Programmatic Trade Desk,PKXMX2_Programmatic PHDCPMParty food Annalect Custom AudiencesProgrammatic Display 300x250,Party Food,THINK Dinner Party 300 x 250,2,3,0,0,0,0
2017-11-17,mince pies,11,THINK Dinner Party 728 x 90,Programmatic Trade Desk,PKXMX3_Programmatic PHDCPMParty food Annalect Custom AudiencesProgrammatic Display 728x90,Party Food,THINK Dinner Party 728 x 90,2,4,0,0,0,0
2017-11-17,mince pies,11,THINK Dinner Party 300 x 600,Programmatic Trade Desk,PKXMX4_Programmatic PHDCPMParty food Annalect Custom AudiencesProgrammatic Display 300x600,Party Food,THINK Dinner Party 300 x 600,2,4,0,0,0,0
2017-11-17,mince pies,11,THINK Dinner Party 970 x 250,Programmatic Trade Desk,PKXMX5_Programmatic PHDCPMParty food Annalect Custom AudiencesProgrammatic Display 970x250,Party Food,THINK Dinner Party 970 x 250,1,4,0,0,0,0
2017-11-17,mince pies,11,THINK Dinner Party 300 x 250,Programmatic Trade Desk,PKXMXB_Programmatic PHDCPMDesserts Annalect Custom AudiencesProgrammatic Display 300x250,Dessert,THINK Dinner Party 300 x 250,0,6,0,0,0,0
2017-11-17,mince pies,11,THINK Dinner Party 728 x 90,Programmatic Trade Desk,PKXMXC_Programmatic PHDCPMDesserts Annalect Custom AudiencesProgrammatic Display 728x90,Dessert,THINK Dinner Party 728 x 90,0,8,0,0,0,0
2017-11-17,mince pies,11,THINK Dinner Party 300 x 600,Programmatic Trade Desk,PKXMXD_Programmatic PHDCPMDesserts Annalect Custom AudiencesProgrammatic Display 300x600,Dessert,THINK Dinner Party 300 x 600,1,4,0,0,0,0
2017-11-17,mince pies,11,THINK Dinner Party 970 x 250,Programmatic Trade Desk,PKXMXF_Programmatic PHDCPMDesserts Annalect Custom AudiencesProgrammatic Display 970x250,Dessert,THINK Dinner Party 970 x 250,0,4,0,0,0,0
2017-11-17,mince pies,11,THINK Dinner Party 300 x 250,Programmatic Trade Desk,PKXMXP_Programmatic PHDCPMChristmas baking Annalect Custom AudiencesProgrammatic Display 300x250,Baking,THINK Dinner Party 300 x 250,0,4,0,0,0,0
2017-11-17,mince pies,11,THINK Dinner Party 728 x 90,Programmatic Trade Desk,PKXMXQ_Programmatic PHDCPMChristmas baking Annalect Custom AudiencesProgrammatic Display 728x90,Baking,THINK Dinner Party 728 x 90,0,7,0,0,0,0
2017-11-17,mince pies,11,THINK Dinner Party 300 x 600,Programmatic Trade Desk,PKXMXR_Programmatic PHDCPMChristmas baking Annalect Custom AudiencesProgrammatic Display 300x600,Baking,THINK Dinner Party 300 x 600,1,8,0,0,0,0
2017-11-17,mince pies,11,THINK Dinner Party 970 x 250,Programmatic Trade Desk,PKXMXS_Programmatic PHDCPMChristmas baking Annalect Custom AudiencesProgrammatic Display 970x250,Baking,THINK Dinner Party 970 x 250,0,7,0,0,0,0
2017-11-17,mince pies,11,THINK Dinner Party 300 x 250,Programmatic Trade Desk,PKXMY5_Programmatic PHDCPMSharing platter Annalect Custom AudiencesProgrammatic Display 300x250,Sharing Platter,THINK Dinner Party 300 x 250,0,2,0,0,0,0
2017-11-17,mince pies,11,THINK Dinner Party 728 x 90,Programmatic Trade Desk,PKXMY6_Programmatic PHDCPMSharing platter Annalect Custom AudiencesProgrammatic Display 728x90,Sharing Platter,THINK Dinner Party 728 x 90,1,3,0,0,0,0
2017-11-17,mince pies,11,THINK Dinner Party 300 x 600,Programmatic Trade Desk,PKXMY7_Programmatic PHDCPMSharing platter Annalect Custom AudiencesProgrammatic Display 300x600,Sharing Platter,THINK Dinner Party 300 x 600,0,4,0,0,0,0
2017-11-17,mince pies,11,THINK Dinner Party 970 x 250,Programmatic Trade Desk,PKXMY8_Programmatic PHDCPMSharing platter Annalect Custom AudiencesProgrammatic Display 970x250,Sharing Platter,THINK Dinner Party 970 x 250,0,4,0,0,0,0
2017-11-17,mince pies,11,THINK Dinner Party 300 x 250,Programmatic Trade Desk,PKXMYK_Programmatic PHDCPMSpirits  Annalect Custom AudiencesProgrammatic Display 300x250,Cocktails,THINK Dinner Party 300 x 250,1,5,0,0,0,0
2017-11-17,mince pies,11,THINK Dinner Party 728 x 90,Programmatic Trade Desk,PKXMYL_Programmatic PHDCPMSpirits  Annalect Custom AudiencesProgrammatic Display 728x90,Cocktails,THINK Dinner Party 728 x 90,3,5,0,0,0,0
2017-11-17,mince pies,11,THINK Dinner Party 300 x 600,Programmatic Trade Desk,PKXMYM_Programmatic PHDCPMSpirits  Annalect Custom AudiencesProgrammatic Display 300x600,Cocktails,THINK Dinner Party 300 x 600,0,2,0,0,0,0
2017-11-17,mince pies,11,THINK Dinner Party 970 x 250,Programmatic Trade Desk,PKXMYN_Programmatic PHDCPMSpirits  Annalect Custom AudiencesProgrammatic Display 970x250,Cocktails,THINK Dinner Party 970 x 250,1,4,0,0,0,0
2017-11-17,mince pies,11,THINK Dinner Party 300 x 250,Programmatic Trade Desk,PKXMYY_Programmatic PHDCPMChristmas brunch  Annalect Custom AudiencesProgrammatic Display 300x250,Brunch,THINK Dinner Party 300 x 250,1,3,0,0,0,0
2017-11-17,mince pies,11,THINK Dinner Party 728 x 90,Programmatic Trade Desk,PKXMYZ_Programmatic PHDCPMChristmas brunch  Annalect Custom AudiencesProgrammatic Display 728x90,Brunch,THINK Dinner Party 728 x 90,1,4,0,0,0,0
2017-11-17,mince pies,11,THINK Dinner Party 300 x 600,Programmatic Trade Desk,PKXMZ0_Programmatic PHDCPMChristmas brunch  Annalect Custom AudiencesProgrammatic Display 300x600,Brunch,THINK Dinner Party 300 x 600,0,4,0,0,0,0
2017-11-17,mince pies,11,THINK Dinner Party 970 x 250,Programmatic Trade Desk,PKXMZ1_Programmatic PHDCPMChristmas brunch  Annalect Custom AudiencesProgrammatic Display 970x250,Brunch,THINK Dinner Party 970 x 250,1,3,0,0,0,0
2017-11-18,christmas pudding,15,Sainsburys_Scarlet_Xmas_2017_Playlist_300x250,Programmatic Trade Desk,PKW8H8_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 300x250,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_300x250,17,16740,0,32,0,2571.8
2017-11-18,christmas pudding,15,Sainsburys_Scarlet_Xmas_2017_Playlist_728x90,Programmatic Trade Desk,PKW8H9_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 728x90,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_728x90,1,3065,0,11,0,732.98
2017-11-18,christmas pudding,15,Sainsburys_Scarlet_Xmas_2017_Playlist_300x600,Programmatic Trade Desk,PKW8HB_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 300x600,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_300x600,5,4487,0,22,0,1857.56
2017-11-18,christmas pudding,15,Sainsburys_Scarlet_Xmas_2017_Playlist_970x250,Programmatic Trade Desk,PKW8HC_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 970x250,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_970x250,6,4696,0,15,0,1262.1
2017-11-18,christmas pudding,15,THINK Dinner Party 300 x 250,Programmatic Trade Desk,PKXMX2_Programmatic PHDCPMParty food Annalect Custom AudiencesProgrammatic Display 300x250,Party Food,THINK Dinner Party 300 x 250,0,1,0,0,0,0
2017-11-18,christmas pudding,15,THINK Dinner Party 300 x 600,Programmatic Trade Desk,PKXMX4_Programmatic PHDCPMParty food Annalect Custom AudiencesProgrammatic Display 300x600,Party Food,THINK Dinner Party 300 x 600,1,9,0,0,0,0
2017-11-18,christmas pudding,15,THINK Dinner Party 300 x 250,Programmatic Trade Desk,PKXMY5_Programmatic PHDCPMSharing platter Annalect Custom AudiencesProgrammatic Display 300x250,Sharing Platter,THINK Dinner Party 300 x 250,0,8,0,0,0,0
2017-11-18,christmas pudding,15,THINK Dinner Party 728 x 90,Programmatic Trade Desk,PKXMY6_Programmatic PHDCPMSharing platter Annalect Custom AudiencesProgrammatic Display 728x90,Sharing Platter,THINK Dinner Party 728 x 90,1,12,0,0,0,0
2017-11-18,christmas pudding,15,THINK Dinner Party 300 x 600,Programmatic Trade Desk,PKXMY7_Programmatic PHDCPMSharing platter Annalect Custom AudiencesProgrammatic Display 300x600,Sharing Platter,THINK Dinner Party 300 x 600,1,7,0,0,0,0
2017-11-18,mince pies,10,Sainsburys_Scarlet_Xmas_2017_Playlist_300x250,Programmatic Trade Desk,PKW8H8_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 300x250,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_300x250,17,16740,0,32,0,2571.8
2017-11-18,mince pies,10,Sainsburys_Scarlet_Xmas_2017_Playlist_728x90,Programmatic Trade Desk,PKW8H9_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 728x90,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_728x90,1,3065,0,11,0,732.98
2017-11-18,mince pies,10,Sainsburys_Scarlet_Xmas_2017_Playlist_300x600,Programmatic Trade Desk,PKW8HB_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 300x600,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_300x600,5,4487,0,22,0,1857.56
2017-11-18,mince pies,10,Sainsburys_Scarlet_Xmas_2017_Playlist_970x250,Programmatic Trade Desk,PKW8HC_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 970x250,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_970x250,6,4696,0,15,0,1262.1
2017-11-18,mince pies,10,THINK Dinner Party 300 x 250,Programmatic Trade Desk,PKXMX2_Programmatic PHDCPMParty food Annalect Custom AudiencesProgrammatic Display 300x250,Party Food,THINK Dinner Party 300 x 250,0,1,0,0,0,0
2017-11-18,mince pies,10,THINK Dinner Party 300 x 600,Programmatic Trade Desk,PKXMX4_Programmatic PHDCPMParty food Annalect Custom AudiencesProgrammatic Display 300x600,Party Food,THINK Dinner Party 300 x 600,1,9,0,0,0,0
2017-11-18,mince pies,10,THINK Dinner Party 300 x 250,Programmatic Trade Desk,PKXMY5_Programmatic PHDCPMSharing platter Annalect Custom AudiencesProgrammatic Display 300x250,Sharing Platter,THINK Dinner Party 300 x 250,0,8,0,0,0,0
2017-11-18,mince pies,10,THINK Dinner Party 728 x 90,Programmatic Trade Desk,PKXMY6_Programmatic PHDCPMSharing platter Annalect Custom AudiencesProgrammatic Display 728x90,Sharing Platter,THINK Dinner Party 728 x 90,1,12,0,0,0,0
2017-11-18,mince pies,10,THINK Dinner Party 300 x 600,Programmatic Trade Desk,PKXMY7_Programmatic PHDCPMSharing platter Annalect Custom AudiencesProgrammatic Display 300x600,Sharing Platter,THINK Dinner Party 300 x 600,1,7,0,0,0,0
2017-11-19,christmas pudding,15,Sainsburys_Scarlet_Xmas_2017_Playlist_300x250,Programmatic Trade Desk,PKW8H8_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 300x250,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_300x250,17,16823,0,59,0,4897.41
2017-11-19,christmas pudding,15,Sainsburys_Scarlet_Xmas_2017_Playlist_728x90,Programmatic Trade Desk,PKW8H9_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 728x90,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_728x90,1,3221,0,13,0,1305.089999
2017-11-19,christmas pudding,15,Sainsburys_Scarlet_Xmas_2017_Playlist_300x600,Programmatic Trade Desk,PKW8HB_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 300x600,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_300x600,3,3884,0,16,0,1410.61
2017-11-19,christmas pudding,15,Sainsburys_Scarlet_Xmas_2017_Playlist_970x250,Programmatic Trade Desk,PKW8HC_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 970x250,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_970x250,13,5907,0,22,0,1843.7
2017-11-19,mince pies,15,Sainsburys_Scarlet_Xmas_2017_Playlist_300x250,Programmatic Trade Desk,PKW8H8_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 300x250,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_300x250,17,16823,0,59,0,4897.41
2017-11-19,mince pies,15,Sainsburys_Scarlet_Xmas_2017_Playlist_728x90,Programmatic Trade Desk,PKW8H9_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 728x90,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_728x90,1,3221,0,13,0,1305.089999
2017-11-19,mince pies,15,Sainsburys_Scarlet_Xmas_2017_Playlist_300x600,Programmatic Trade Desk,PKW8HB_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 300x600,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_300x600,3,3884,0,16,0,1410.61
2017-11-19,mince pies,15,Sainsburys_Scarlet_Xmas_2017_Playlist_970x250,Programmatic Trade Desk,PKW8HC_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 970x250,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_970x250,13,5907,0,22,0,1843.7
2017-11-20,christmas pudding,16,Sainsburys_Scarlet_Xmas_2017_Playlist_300x250,Programmatic Trade Desk,PKW8H8_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 300x250,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_300x250,15,20161,1,59,44.2,5575.089999
2017-11-20,christmas pudding,16,Sainsburys_Scarlet_Xmas_2017_Playlist_728x90,Programmatic Trade Desk,PKW8H9_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 728x90,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_728x90,1,3343,0,10,0,720.7
2017-11-20,christmas pudding,16,Sainsburys_Scarlet_Xmas_2017_Playlist_300x600,Programmatic Trade Desk,PKW8HB_Programmatic PHDCPMAnnalect Custom AudiencesProgrammatic Display 300x600,Brand,Sainsburys_Scarlet_Xmas_2017_Playlist_300x600,2,4336,0,22,0,1764.76
