campaign,site_dcm,placement,mission,date,creative,clicks,impressions,click_through_conversions,view_through_conversions,click_through_revenue,view_through_revenue
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-11-26, Christmas 2017 Tracker,209,20561,2,29,336.69,2287.22
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-11-27, Christmas 2017 Tracker,387,18397,0,22,0,1689.77
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-11-28, Christmas 2017 Tracker,400,19057,4,23,405.07,2104.9
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-11-29, Christmas 2017 Tracker,360,20595,0,20,0,2031.77
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-11-30, Christmas 2017 Tracker,335,15131,0,25,0,2433.2
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-01, Christmas 2017 Tracker,240,11705,2,14,166.9,1312.06
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-02, Christmas 2017 Tracker,239,19831,2,21,120.7,1733.69
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-03, Christmas 2017 Tracker,295,16987,0,28,0,2386.99
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-04, Christmas 2017 Tracker,511,21392,4,25,308.15,1612.249999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-05, Christmas 2017 Tracker,471,17757,1,30,133.22,2344.44
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-06, Christmas 2017 Tracker,425,23735,2,31,961.15,3339.409998
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-07, Christmas 2017 Tracker,291,11623,1,30,82.89,3190.699998
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-08, Christmas 2017 Tracker,882,28099,2,26,333.64,1922.78
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-09, Christmas 2017 Tracker,456,20079,6,22,678.54,1790.049999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-10, Christmas 2017 Tracker,381,18736,1,36,47.02,3173.04
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-11, Christmas 2017 Tracker,356,9993,2,30,295.65,2522.21
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-12, Christmas 2017 Tracker,2213,55322,0,32,0,2734.419999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-13, Christmas 2017 Tracker,3106,41008,3,62,404.73,6028.339999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-14, Christmas 2017 Tracker,2766,40674,12,58,968.33,5556.539997
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-15, Christmas 2017 Tracker,4538,101843,6,42,455.29,4467.23
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-16, Christmas 2017 Tracker,3457,100202,10,58,1212.84,5261.479999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-17, Christmas 2017 Tracker,4167,99746,18,70,1778.61,7265.819999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-18, Christmas 2017 Tracker,6598,103421,12,89,1473.22,10268.289999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-19, Christmas 2017 Tracker,4680,103298,14,83,1634.04,10406.449999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-20, Christmas 2017 Tracker,5294,102731,12,74,1309.55,10591.65
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-21, Christmas 2017 Tracker,4774,102762,22,89,2428.57,10425.629999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-22, Christmas 2017 Tracker,3323,71799,11,48,1142.549999,6489.6
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-23, Christmas 2017 Tracker,2866,72777,6,15,550.49,1109.339999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-24, Christmas 2017 Tracker,2349,60291,2,17,230.7,1475.249999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-25, Christmas 2017 Tracker,1,0,2,6,260.55,538.929999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-26, Christmas 2017 Tracker,0,0,10,40,644.169999,3152.64
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-27, Christmas 2017 Tracker,0,0,7,54,732.48,4727.17
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-28, Christmas 2017 Tracker,0,0,15,55,1558.99,4918.979998
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-29, Christmas 2017 Tracker,0,0,9,46,640.33,4243.919999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-30, Christmas 2017 Tracker,1,0,5,33,372.9,2330.78
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-12-31, Christmas 2017 Tracker,0,0,3,18,245.78,1211.649999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-11-06, Christmas 2017 Tracker,2,1,0,0,0,0
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-11-07, Christmas 2017 Tracker,46,57,0,0,0,0
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-11-08, Christmas 2017 Tracker,4,38,1,0,159.15,0
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-11-09, Christmas 2017 Tracker,10,18,0,0,0,0
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-11-10, Christmas 2017 Tracker,11,33,0,0,0,0
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-11-11, Christmas 2017 Tracker,0,1,0,0,0,0
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-11-12, Christmas 2017 Tracker,2401,47530,2,2,233.87,133.23
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-11-13, Christmas 2017 Tracker,2083,47975,0,40,0,2834.33
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-11-14, Christmas 2017 Tracker,2088,48190,2,62,250.81,5672.969999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-11-15, Christmas 2017 Tracker,1953,48254,2,44,178.55,3967.12
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-11-16, Christmas 2017 Tracker,1841,48182,6,65,629.22,5688.74
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-11-17, Christmas 2017 Tracker,2154,48123,6,59,657.309999,5403.529999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-11-18, Christmas 2017 Tracker,1493,48013,8,74,980.84,5996.669999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-11-19, Christmas 2017 Tracker,1607,48194,8,99,771.91,8744.22
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-11-20, Christmas 2017 Tracker,1639,48138,15,111,1614.589999,10905.549999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-11-21, Christmas 2017 Tracker,2949,24666,8,128,718.49,10961.779999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-11-22, Christmas 2017 Tracker,257,3261,13,118,1360.29,10929.769998
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-11-23, Christmas 2017 Tracker,267,2957,16,108,1439.28,9865.899999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-11-24, Christmas 2017 Tracker,5710,47385,7,102,701.42,8693.45
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-11-25, Christmas 2017 Tracker,5137,47915,23,123,2060.03,10644.099999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-11-26, Christmas 2017 Tracker,6349,47953,20,139,1402.13,11467.869998
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-11-27, Christmas 2017 Tracker,5518,47806,33,154,2569.769999,13068.499999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-11-28, Christmas 2017 Tracker,5067,48262,28,155,2229.07,14476.159998
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-11-29, Christmas 2017 Tracker,3200,48399,36,144,3496.789999,13858.529997
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-11-30, Christmas 2017 Tracker,3256,47380,38,162,4549.669999,16310.579997
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-01, Christmas 2017 Tracker,3342,41343,36,154,3529.88,14932.539996
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-02, Christmas 2017 Tracker,6203,46822,39,114,4118.849999,9691.389994
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-03, Christmas 2017 Tracker,7086,46814,28,131,2742.31,12615.639997
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-04, Christmas 2017 Tracker,3862,38050,52,187,4680.65,17882.979997
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-05, Christmas 2017 Tracker,2720,26526,35,138,3069.59,13362.39
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-06, Christmas 2017 Tracker,2708,47959,52,157,4831.74,14907.409998
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-07, Christmas 2017 Tracker,3047,70294,40,170,3850.249999,15876.209996
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-08, Christmas 2017 Tracker,3365,36980,50,159,4488.689999,16640.309998
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-09, Christmas 2017 Tracker,13,134,33,106,3273,10848.909998
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-10, Christmas 2017 Tracker,19,196,34,121,2703.509998,11529.319998
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-11, Christmas 2017 Tracker,343,14240,46,146,4823.019997,13931.209999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-12, Christmas 2017 Tracker,714,19003,61,170,6087.54,16913.009998
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-13, Christmas 2017 Tracker,1391,41753,51,150,4985.91,15503.479995
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-14, Christmas 2017 Tracker,2402,65245,47,137,4276.999999,14108.149999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-15, Christmas 2017 Tracker,1422,29524,52,142,5177.71,14705.959997
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-16, Christmas 2017 Tracker,829,15717,37,117,3950.039999,13214.029999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-17, Christmas 2017 Tracker,825,17256,53,136,5231.7,14947.459999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-18, Christmas 2017 Tracker,2662,95102,51,165,5485.17,18836.979994
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-19, Christmas 2017 Tracker,6062,94879,56,176,5908.139999,22120.539997
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-20, Christmas 2017 Tracker,5505,94897,43,138,4356.45,15628.419998
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-21, Christmas 2017 Tracker,13417,95240,39,151,5149.58,17989.649998
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-22, Christmas 2017 Tracker,9854,71679,31,109,3835.149999,12877.499998
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-23, Christmas 2017 Tracker,11524,71503,16,24,1142.94,2088.79
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-24, Christmas 2017 Tracker,620,5816,15,25,1011.46,1793.709999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-25, Christmas 2017 Tracker,1,0,6,8,476.34,775.02
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-26, Christmas 2017 Tracker,0,0,32,58,2416.56,4448.829999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-27, Christmas 2017 Tracker,3,0,42,93,3040.709999,7300.149998
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-28, Christmas 2017 Tracker,0,0,53,85,4170.14,7184.779998
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-29, Christmas 2017 Tracker,1,0,47,85,3763.609998,7458.509997
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-30, Christmas 2017 Tracker,1,0,27,53,1771.28,5015.21
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H3_PHD Programmatic PHD BRANDING - HIGH IMPACT Collective Skin,Brand,2017-12-31, Christmas 2017 Tracker,0,0,13,29,858.78,2135.85
Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,Programmatic Trade Desk,PKW8H4_Programmatic PHDCPMCONTEXTUALProgrammatic Display 300x250,Brand,2017-11-08,Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,0,3,0,0,0,0
Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,Programmatic Trade Desk,PKW8H4_Programmatic PHDCPMCONTEXTUALProgrammatic Display 300x250,Brand,2017-11-09,Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,1,10,0,0,0,0
Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,Programmatic Trade Desk,PKW8H4_Programmatic PHDCPMCONTEXTUALProgrammatic Display 300x250,Brand,2017-11-12,Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,29,28014,0,7,0,500.98
Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,Programmatic Trade Desk,PKW8H4_Programmatic PHDCPMCONTEXTUALProgrammatic Display 300x250,Brand,2017-11-13,Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,43,27639,0,17,0,1641.51
Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,Programmatic Trade Desk,PKW8H4_Programmatic PHDCPMCONTEXTUALProgrammatic Display 300x250,Brand,2017-11-14,Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,25,34885,0,11,0,1028.34
Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,Programmatic Trade Desk,PKW8H4_Programmatic PHDCPMCONTEXTUALProgrammatic Display 300x250,Brand,2017-11-15,Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,28,33754,0,12,0,1776.56
Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,Programmatic Trade Desk,PKW8H4_Programmatic PHDCPMCONTEXTUALProgrammatic Display 300x250,Brand,2017-11-16,Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,42,35521,0,18,0,1500.5
Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,Programmatic Trade Desk,PKW8H4_Programmatic PHDCPMCONTEXTUALProgrammatic Display 300x250,Brand,2017-11-17,Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,23,28823,0,11,0,1010.16
Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,Programmatic Trade Desk,PKW8H4_Programmatic PHDCPMCONTEXTUALProgrammatic Display 300x250,Brand,2017-11-18,Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,28,22857,0,16,0,1959.479998
Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,Programmatic Trade Desk,PKW8H4_Programmatic PHDCPMCONTEXTUALProgrammatic Display 300x250,Brand,2017-11-19,Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,28,35223,0,25,0,2515.14
Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,Programmatic Trade Desk,PKW8H4_Programmatic PHDCPMCONTEXTUALProgrammatic Display 300x250,Brand,2017-11-20,Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,33,35867,0,29,0,2438.4
Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,Programmatic Trade Desk,PKW8H4_Programmatic PHDCPMCONTEXTUALProgrammatic Display 300x250,Brand,2017-11-21,Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,29,31237,0,29,0,2543.149999
Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,Programmatic Trade Desk,PKW8H4_Programmatic PHDCPMCONTEXTUALProgrammatic Display 300x250,Brand,2017-11-22,Sainsburys_Scarlet_Xmas_2017_Cheese_300x250,21,26035,0,22,0,1608.929999
